,ncIdentifier,prIdentifier,interaction
0,n346535,Q86X94,1
1,n344793,Q15717,1
2,n344547,P35637,1
3,n345580,Q13148,1
4,n344965,P26599,1
5,n345574,Q13148,1
6,n345044,Q49AS9,1
7,n345395,P35637,1
8,n346188,P26599,1
9,n345455,P26599,1
10,n346535,Q9HCE1,1
11,n344569,Q13148,1
12,n345006,P35637,1
13,n345707,Q07955,1
14,n346533,Q9NZI8,1
15,n344659,B7ZL34,1
16,n344461,Q13148,1
17,n345170,Q01844,1
18,n344885,Q15717,1
19,n345138,Q15717,1
20,n344931,Q9NZI8,1
21,n345304,O00425,1
22,n344741,Q9Y6M1,1
23,n346101,Q49AS9,1
24,n345248,Q15717,1
25,n344916,P35637,1
26,n344941,Q13148,1
27,n345457,Q15717,1
28,n345458,Q9Y6M1,1
29,n344755,Q49AS9,1
30,n346533,Q9Y6M1,1
31,n346041,Q07955,1
32,n345647,Q15717,1
33,n345574,Q9Y6M1,1
34,n344996,Q9UL18,1
35,n344745,Q49AS9,1
36,n345670,P35637,1
37,n345781,P31483,1
38,n344778,P26599,1
39,n344656,Q9NZI8,1
40,n344627,P35637,1
41,n344741,P35637,1
42,n344871,Q9Y6M1,1
43,n346535,Q15717,1
44,n346545,Q49AS9,1
45,n344678,Q49AS9,1
46,n345449,Q8NDV7,1
47,n344659,Q9HCE1,1
48,n344574,Q49AS9,1
49,n344808,O00425,1
50,n345473,Q15717,1
51,n344741,Q9NZI8,1
52,n345059,Q15717,1
53,n346398,Q9NZI8,1
54,n345630,Q49AS9,1
55,n345421,Q15717,1
56,n344517,Q49AS9,1
57,n346404,P26599,1
58,n344659,Q01844,1
59,n344574,O00425,1
60,n344540,O43251,1
61,n344658,Q07955,1
62,n346227,Q07955,1
63,n345322,Q13148,1
64,n345777,Q9NZI8,1
65,n346167,O00425,1
66,n345433,P31483,1
67,n344778,Q9UKV8,1
68,n344808,Q9Y6M1,1
69,n345666,P35637,1
70,n344960,O00425,1
71,n344709,Q9Y6M1,1
72,n345070,Q07955,1
73,n345277,Q9UL18,1
74,n344778,Q15717,1
75,n344490,Q9UKV8,1
76,n346545,Q07955,1
77,n346430,Q15717,1
78,n344547,Q9UKV8,1
79,n345751,P26599,1
80,n345653,B7ZL34,1
81,n345138,P35637,1
82,n344604,P26599,1
83,n345385,Q9Y6M1,1
84,n345255,O00425,1
85,n345105,Q15717,1
86,n345424,P26599,1
87,n345385,O00425,1
88,n346398,Q15717,1
89,n346537,Q9Y6M1,1
90,n344778,Q15717,1
91,n345040,P35637,1
92,n344457,Q9UL18,1
93,n345618,Q13148,1
94,n345568,O00425,1
95,n344778,Q49AS9,1
96,n344653,Q9Y6M1,1
97,n345046,Q13148,1
98,n345474,Q15717,1
99,n344693,P35637,1
100,n346356,Q49AS9,1
101,n345260,O00425,1
102,n345653,O00425,1
103,n344771,Q13148,1
104,n344604,Q9Y6M1,1
105,n345622,Q15717,1
106,n344960,Q15717,1
107,n344699,Q9NZI8,1
108,n344894,Q9NZI8,1
109,n344703,P35637,1
110,n344745,Q9UKV8,1
111,n344461,Q49AS9,1
112,n345297,Q13148,1
113,n345458,Q01844,1
114,n346361,O00425,1
115,n345781,Q15717,1
116,n346523,O00425,1
117,n344678,P35637,1
118,n345232,Q15717,1
119,n344628,P35637,1
120,n345670,Q86X94,1
121,n344659,P35637,1
122,n344996,Q9Y6M1,1
123,n345613,Q13148,1
124,n344691,O00425,1
125,n345161,Q9NZI8,1
126,n344500,Q9Y6M1,1
127,n344768,Q15717,1
128,n345527,Q9Y6M1,1
129,n345670,Q15717,1
130,n345091,Q9HCE1,1
131,n344745,Q9UKV8,1
132,n345222,O00425,1
133,n344569,P26599,1
134,n344691,P35637,1
135,n344940,Q07955,1
136,n344490,P31483,1
137,n344871,O00425,1
138,n344778,Q15717,1
139,n346032,P35637,1
140,n346082,O00425,1
141,n345557,Q15717,1
142,n345421,P31483,1
143,n345222,P35637,1
144,n345385,P35637,1
145,n344677,P35637,1
146,n345395,Q13148,1
147,n344995,Q9HCE1,1
148,n344724,Q49AS9,1
149,n344705,Q13148,1
150,n344659,Q9NZI8,1
151,n345437,Q86X94,1
152,n346247,Q07955,1
153,n345941,Q86X94,1
154,n345457,Q9NZI8,1
155,n344755,Q15717,1
156,n345222,Q9UKV8,1
157,n344793,Q9Y6M1,1
158,n344656,Q07955,1
159,n346288,Q49AS9,1
160,n344745,Q15717,1
161,n345574,O00425,1
162,n345310,P35637,1
163,n345139,P35637,1
164,n346101,O00425,1
165,n344778,P35637,1
166,n345544,P35637,1
167,n363309,Q15717,1
168,n344547,Q01844,1
169,n345288,Q13148,1
170,n344872,Q15717,1
171,n345246,Q15717,1
172,n344610,O00425,1
173,n344995,Q15717,1
174,n344658,Q15717,1
175,n345653,Q9NZI8,1
176,n345670,P35637,1
177,n344659,Q9Y6M1,1
178,n346398,Q9UKV8,1
179,n345417,Q49AS9,1
180,n345222,Q9UKV8,1
181,n344871,Q15717,1
182,n344496,Q07955,1
183,n345182,Q49AS9,1
184,n345170,Q15717,1
185,n344778,Q01844,1
186,n344992,Q13148,1
187,n344909,Q15717,1
188,n345281,Q86X94,1
189,n346523,Q07955,1
190,n344659,Q49AS9,1
191,n344559,Q15717,1
192,n345059,Q15717,1
193,n344778,Q15717,1
194,n344540,Q13148,1
195,n344679,Q13148,1
196,n346422,Q49AS9,1
197,n344799,Q49AS9,1
198,n346033,Q07955,1
199,n345226,Q86X94,1
200,n345653,Q01844,1
201,n345458,Q15717,1
202,n344601,Q9UKV8,1
203,n345887,Q49AS9,1
204,n346337,Q07955,1
205,n344808,Q15717,1
206,n345777,P31483,1
207,n344736,P31483,1
208,n344745,Q01844,1
209,n345437,Q49AS9,1
210,n344924,Q15717,1
211,n345117,Q86X94,1
212,n344604,Q49AS9,1
213,n345954,Q15717,1
214,n344965,Q13148,1
215,n344726,P26599,1
216,n345186,P31483,1
217,n344514,Q9UKV8,1
218,n345886,P35637,1
219,n344462,Q15717,1
220,n344975,Q9NZI8,1
221,n344461,P31483,1
222,n345041,Q15717,1
223,n345293,Q13148,1
224,n346167,Q86X94,1
225,n346426,Q07955,1
226,n346109,P26599,1
227,n344907,Q15717,1
228,n344907,Q15717,1
229,n345271,Q15717,1
230,n344678,P26599,1
231,n345474,P35637,1
232,n345437,P31483,1
233,n345925,Q07955,1
234,n345296,Q01844,1
235,n345418,Q01844,1
236,n345594,Q15717,1
237,n345765,Q15717,1
238,n346537,O00425,1
239,n344818,Q9Y6M1,1
240,n345014,O00425,1
241,n345594,Q49AS9,1
242,n344664,Q9UKV8,1
243,n346354,Q07955,1
244,n345850,Q15717,1
245,n344930,P35637,1
246,n345751,Q15717,1
247,n345423,Q9UL18,1
248,n344601,O00425,1
249,n345310,Q15717,1
250,n344872,Q49AS9,1
251,n344803,Q9NZI8,1
252,n345304,Q01844,1
253,n345781,Q9Y6M1,1
254,n344514,Q15717,1
255,n344724,Q07955,1
256,n345117,Q01844,1
257,n344793,Q86X94,1
258,n344601,P31483,1
259,n345449,Q96PU8,1
260,n344871,Q9HCE1,1
261,n346026,Q13148,1
262,n345424,O00425,1
263,n345059,Q15717,1
264,n344691,Q01844,1
265,n345457,Q49AS9,1
266,n344755,Q9Y6M1,1
267,n346460,Q07955,1
268,n346137,O00425,1
269,n344490,Q9Y6M1,1
270,n344541,Q07955,1
271,n344960,Q9Y6M1,1
272,n344656,O00425,1
273,n344871,Q9NZI8,1
274,n345289,Q49AS9,1
275,n344540,P31483,1
276,n344745,O00425,1
277,n345232,Q15717,1
278,n344460,Q15717,1
279,n345437,Q9Y6M1,1
280,n344695,Q15717,1
281,n345222,Q9NZI8,1
282,n344540,Q15717,1
283,n344610,Q15717,1
284,n344808,Q9NZI8,1
285,n344749,Q9NZI8,1
286,n345168,Q13148,1
287,n344741,Q9UL18,1
288,n345110,P35637,1
289,n344677,Q8NDV7,1
290,n345909,Q07955,1
291,n344931,Q9Y6M1,1
292,n344460,P35637,1
293,n344528,O00425,1
294,n346520,Q07955,1
295,n344454,P26599,1
296,n344644,Q96PU8,1
297,n344490,Q49AS9,1
298,n345012,Q15717,1
299,n346533,P35637,1
300,n344721,Q9NZI8,1
301,n345417,Q15717,1
302,n345281,Q15717,1
303,n345338,Q15717,1
304,n345873,Q49AS9,1
305,n344766,P26599,1
306,n344800,P31483,1
307,n345385,Q15717,1
308,n344601,Q15717,1
309,n346189,P31483,1
310,n345185,Q49AS9,1
311,n344658,Q49AS9,1
312,n346533,Q01844,1
313,n345754,Q07955,1
314,n344462,P31483,1
315,n344541,Q15717,1
316,n344741,P35637,1
317,n344800,Q9Y6M1,1
318,n344741,Q9UKV8,1
319,n344610,P35637,1
320,n344772,Q49AS9,1
321,n346189,Q49AS9,1
322,n344538,Q15717,1
323,n346143,Q9Y6M1,1
324,n344749,Q49AS9,1
325,n345751,O00425,1
326,n345957,Q07955,1
327,n344986,Q9Y6M1,1
328,n345045,Q9Y6M1,1
329,n344778,Q9HCE1,1
330,n344971,Q49AS9,1
331,n344574,Q01844,1
332,n345229,Q07955,1
333,n344610,P35637,1
334,n344971,Q15717,1
335,n345038,Q15717,1
336,n346349,P31483,1
337,n346537,Q15717,1
338,n344975,O00425,1
339,n345886,Q15717,1
340,n344772,Q07955,1
341,n344462,Q49AS9,1
342,n346361,Q9NZI8,1
343,n345847,Q01844,1
344,n345417,P31483,1
345,n344995,B7ZL34,1
346,n345222,Q9HCE1,1
347,n344490,Q15717,1
348,n344574,P31483,1
349,n346288,P31483,1
350,n344457,Q15717,1
351,n345697,Q07955,1
352,n346082,P35637,1
353,n344745,Q15717,1
354,n344880,Q15717,1
355,n344745,P35637,1
356,n345455,Q9NZI8,1
357,n344861,P26599,1
358,n344963,Q13148,1
359,n345045,Q8NDV7,1
360,n344478,Q13148,1
361,n344604,Q01844,1
362,n344691,Q86X94,1
363,n344848,Q07955,1
364,n344604,P35637,1
365,n345117,Q9HCE1,1
366,n344800,Q9UL18,1
367,n345222,P35637,1
368,n346026,P35637,1
369,n345437,Q01844,1
370,n345323,P35637,1
371,n345222,Q49AS9,1
372,n345457,Q13148,1
373,n345437,Q9HCE1,1
374,n344574,P35637,1
375,n344678,Q07955,1
376,n345686,P31483,1
377,n344651,Q9Y6M1,1
378,n345077,Q9Y6M1,1
379,n345653,Q15717,1
380,n345653,Q15717,1
381,n345813,Q07955,1
382,n344457,P31483,1
383,n346392,Q15717,1
384,n345304,Q15717,1
385,n344872,Q13148,1
386,n345589,Q15717,1
387,n344719,Q13148,1
388,n346398,O00425,1
389,n345031,P26599,1
390,n345003,Q13148,1
391,n346349,O00425,1
392,n345437,Q15717,1
393,n345777,Q9UKV8,1
394,n346082,Q15717,1
395,n344803,Q9Y6M1,1
396,n345831,Q07955,1
397,n345170,Q15717,1
398,n345653,Q49AS9,1
399,n344745,Q15717,1
400,n344975,Q9Y6M1,1
401,n344745,Q9NZI8,1
402,n346110,O00425,1
403,n344699,O00425,1
404,n344872,P31483,1
405,n345387,Q13148,1
406,n344500,O00425,1
407,n346167,Q9UKV8,1
408,n344971,Q9Y6M1,1
409,n344659,Q9UL18,1
410,n344646,Q9UKV8,1
411,n345417,P35637,1
412,n345179,Q13148,1
413,n344610,Q15717,1
414,n344457,Q9Y6M1,1
415,n344454,P31483,1
416,n344678,Q15717,1
417,n344798,Q13148,1
418,n344457,O00425,1
419,n344745,P35637,1
420,n344589,Q86X94,1
421,n344960,P35637,1
422,n345943,Q07955,1
423,n345746,Q15717,1
424,n345915,Q07955,1
425,n346525,P31483,1
426,n346348,Q07955,1
427,n345668,P26599,1
428,n344462,Q86X94,1
429,n344960,Q01844,1
430,n344538,P35637,1
431,n344574,Q9NZI8,1
432,n345636,Q13148,1
433,n344791,Q01844,1
434,n344800,Q15717,1
435,n344772,P26599,1
436,n345881,Q01844,1
437,n344659,P31483,1
438,n344646,Q15717,1
439,n346101,Q96PU8,1
440,n344793,P26599,1
441,n345385,Q9HCE1,1
442,n345674,Q07955,1
443,n346537,Q9NZI8,1
444,n344646,Q49AS9,1
445,n344514,Q9UKV8,1
446,n344454,O43251,1
447,n344541,Q13148,1
448,n344808,Q15717,1
449,n345385,Q9UL18,1
450,n344916,Q15717,1
451,n344800,B7ZL34,1
452,n344598,Q13148,1
453,n345117,Q15717,1
454,n344547,Q15717,1
455,n344810,Q07955,1
456,n345559,Q15717,1
457,n345186,Q13148,1
458,n345077,Q15717,1
459,n345310,Q13148,1
460,n345161,Q13148,1
461,n346426,Q15717,1
462,n345170,P35637,1
463,n346404,Q15717,1
464,n345221,Q49AS9,1
465,n345270,Q15717,1
466,n345701,P35637,1
467,n345636,Q15717,1
468,n344963,Q15717,1
469,n346398,P35637,1
470,n344986,Q15717,1
471,n344793,P35637,1
472,n345395,Q15717,1
473,n345232,Q15717,1
474,n344589,Q07955,1
475,n363314,Q15717,1
476,n344778,Q13148,1
477,n344503,Q9UL18,1
478,n344736,Q15717,1
479,n346033,Q15717,1
480,n345670,Q9HCE1,1
481,n344741,Q15717,1
482,n345861,Q07955,1
483,n345012,P26599,1
484,n344934,P26599,1
485,n344818,O00425,1
486,n344551,Q13148,1
487,n345641,Q9NZI8,1
488,n346078,Q07955,1
489,n346101,Q15717,1
490,n344875,P31483,1
491,n344709,Q15717,1
492,n345385,Q01844,1
493,n344453,Q13148,1
494,n345437,P35637,1
495,n344995,Q9Y6M1,1
496,n344478,O43251,1
497,n344943,P35637,1
498,n345091,Q01844,1
499,n346523,Q9NZI8,1
500,n345221,Q15717,1
501,n346101,Q9NZI8,1
502,n346373,P35637,1
503,n344652,Q15717,1
504,n344488,Q49AS9,1
505,n344658,Q9UKV8,1
506,n346033,Q86X94,1
507,n346494,Q07955,1
508,n344552,P26599,1
509,n344778,Q9UKV8,1
510,n345395,Q49AS9,1
511,n345222,Q9Y6M1,1
512,n345781,Q49AS9,1
513,n346398,Q9UKV8,1
514,n344778,Q9UL18,1
515,n344628,O00425,1
516,n346392,P31483,1
517,n345232,P35637,1
518,n345156,P26599,1
519,n345686,Q15717,1
520,n345799,Q07955,1
521,n345437,Q9NZI8,1
522,n345506,P35637,1
523,n346188,Q13148,1
524,n346101,Q13148,1
525,n344457,Q9NZI8,1
526,n345612,Q13148,1
527,n346205,Q07955,1
528,n345437,Q15717,1
529,n345138,Q15717,1
530,n345417,Q13148,1
531,n344741,O00425,1
532,n345249,Q13148,1
533,n345457,Q9Y6M1,1
534,n346398,Q9Y6M1,1
535,n344652,Q49AS9,1
536,n345839,Q13148,1
537,n345527,Q15717,1
538,n344778,P31483,1
539,n346533,O00425,1
540,n345139,Q9NZI8,1
541,n346404,Q15717,1
542,n346398,P31483,1
543,n344871,Q07955,1
544,n346349,Q9NZI8,1
545,n345437,O00425,1
546,n345653,P31483,1
547,n344709,P26599,1
548,n344798,Q9UKV8,1
549,n346510,O00425,1
550,n345117,P35637,1
551,n344578,Q07955,1
552,n346137,Q07955,1
553,n344996,O00425,1
554,n345781,O00425,1
555,n344848,Q15717,1
556,n344664,Q15717,1
557,n344793,P31483,1
558,n345222,Q15717,1
559,n344659,Q86X94,1
560,n345433,Q15717,1
561,n344939,Q96PU8,1
562,n344793,Q49AS9,1
563,n346537,Q9UL18,1
564,n345668,Q15717,1
565,n344800,Q49AS9,1
566,n344868,O00425,1
567,n346167,Q15717,1
568,n344664,Q9NZI8,1
569,n346137,Q15717,1
570,n345185,Q15717,1
571,n345516,Q15717,1
572,n346426,O00425,1
573,n345185,P35637,1
574,n345977,Q07955,1
575,n345670,Q49AS9,1
576,n345139,Q9Y6M1,1
577,n345935,Q49AS9,1
578,n346533,Q9UKV8,1
579,n344462,Q15717,1
580,n344601,Q15717,1
581,n345182,Q15717,1
582,n346167,Q9Y6M1,1
583,n345168,Q49AS9,1
584,n345746,P31483,1
585,n345765,P31483,1
586,n344736,Q15717,1
587,n346537,Q01844,1
588,n345630,P31483,1
589,n344547,Q15717,1
590,n344659,Q15717,1
591,n346196,Q07955,1
592,n344610,Q9UKV8,1
593,n346383,Q07955,1
594,n344971,O00425,1
595,n345433,Q49AS9,1
596,n345207,Q15717,1
597,n345777,Q9UKV8,1
598,n344807,Q15717,1
599,n344996,Q15717,1
600,n345032,Q13148,1
601,n345501,Q07955,1
602,n345185,Q9Y6M1,1
603,n344800,Q15717,1
604,n346296,P31483,1
605,n344547,Q9Y6M1,1
606,n344980,O00425,1
607,n344986,Q9NZI8,1
608,n344871,Q96PU8,1
609,n345746,Q49AS9,1
610,n345455,Q01844,1
611,n346477,Q07955,1
612,n346472,Q07955,1
613,n345117,P35637,1
614,n344651,P31483,1
615,n344798,O00425,1
616,n345455,O00425,1
617,n344741,Q49AS9,1
618,n345618,Q15717,1
619,n346236,Q07955,1
620,n344957,P26599,1
621,n345139,Q9HCE1,1
622,n345653,Q9Y6M1,1
623,n344975,Q15717,1
624,n344778,Q15717,1
625,n344601,P35637,1
626,n345077,Q9NZI8,1
627,n345879,Q49AS9,1
628,n344691,Q49AS9,1
629,n344574,Q86X94,1
630,n344805,Q15717,1
631,n344875,Q15717,1
632,n344960,Q9NZI8,1
633,n345161,Q15717,1
634,n345457,Q15717,1
635,n344986,O00425,1
636,n344604,Q15717,1
637,n346189,Q15717,1
638,n345648,Q9Y6M1,1
639,n345465,Q15717,1
640,n346545,Q15717,1
641,n345357,Q15717,1
642,n344778,B7ZL34,1
643,n345502,Q9HCE1,1
644,n345468,Q13148,1
645,n345765,Q13148,1
646,n344745,Q8NDV7,1
647,n345310,P31483,1
648,n345014,Q49AS9,1
649,n345473,Q9HCE1,1
650,n344709,P31483,1
651,n344691,Q15717,1
652,n346533,P35637,1
653,n346101,Q15717,1
654,n344598,Q15717,1
