,ncIdentifier,prIdentifier,interaction
1293,n345038,Q86X94,0
1294,n346349,P26599,0
1295,n346537,P31483,0
1296,n344975,Q8NDV7,0
1297,n345886,Q9Y6M1,0
1298,n344772,B7ZL34,0
1299,n344462,Q13148,0
1300,n346361,P35637,0
1301,n345847,O43251,0
1302,n345417,Q8NDV7,0
1303,n344995,P31483,0
1304,n345222,B7ZL34,0
1305,n344490,Q01844,0
1306,n344574,Q8NDV7,0
1307,n346288,Q9HCE1,0
1308,n344457,Q86X94,0
1309,n345697,O43251,0
1310,n346082,Q9HCE1,0
1311,n344745,Q07955,0
1312,n344880,O43251,0
1313,n344745,P26599,0
1314,n345455,Q9HCE1,0
1315,n344861,O00425,0
1316,n344963,Q9Y6M1,0
1317,n345045,P26599,0
1318,n344478,Q9UL18,0
1319,n344604,O00425,0
1320,n344691,Q8NDV7,0
1321,n344848,Q9UL18,0
1322,n344604,Q86X94,0
1323,n345117,P31483,0
1324,n344800,Q9UKV8,0
1325,n345222,Q8NDV7,0
1326,n346026,Q9UL18,0
1327,n345437,Q8NDV7,0
1328,n345323,Q07955,0
1329,n345222,Q86X94,0
1330,n345457,Q8NDV7,0
1331,n345437,Q01844,0
1332,n344574,P26599,0
1333,n344678,Q86X94,0
1334,n345686,B7ZL34,0
1335,n344651,Q13148,0
1336,n345077,B7ZL34,0
1337,n345653,O43251,0
1338,n345653,Q07955,0
1339,n345813,P31483,0
1340,n344457,B7ZL34,0
1341,n346392,Q9HCE1,0
1342,n345304,Q8NDV7,0
1343,n344872,Q8NDV7,0
1344,n345589,P26599,0
1345,n344719,Q9UKV8,0
1346,n346398,P26599,0
1347,n345031,Q9UKV8,0
1348,n345003,Q01844,0
1349,n346349,Q86X94,0
1350,n345437,O43251,0
1351,n345777,Q07955,0
1352,n346082,Q13148,0
1353,n344803,Q13148,0
1354,n345831,Q13148,0
1355,n345170,Q9Y6M1,0
1356,n345653,Q86X94,0
1357,n344745,B7ZL34,0
1358,n344975,P26599,0
1359,n344745,O00425,0
1360,n346110,P26599,0
1361,n344699,Q07955,0
1362,n344872,P35637,0
1363,n345387,Q9NZI8,0
1364,n344500,Q13148,0
1365,n346167,Q9HCE1,0
1366,n344971,B7ZL34,0
1367,n344659,Q49AS9,0
1368,n344646,P35637,0
1369,n345417,P26599,0
1370,n345179,B7ZL34,0
1371,n344610,Q96PU8,0
1372,n344457,Q07955,0
1373,n344454,Q07955,0
1374,n344678,Q9HCE1,0
1375,n344798,P26599,0
1376,n344457,Q9HCE1,0
1377,n344745,O43251,0
1378,n344589,Q8NDV7,0
1379,n344960,Q9UL18,0
1380,n345943,O43251,0
1381,n345746,Q96PU8,0
1382,n345915,O43251,0
1383,n346525,Q01844,0
1384,n346348,P31483,0
1385,n345668,Q07955,0
1386,n344462,Q9UL18,0
1387,n344960,Q07955,0
1388,n344538,P26599,0
1389,n344574,Q07955,0
1390,n345636,O43251,0
1391,n344791,O00425,0
1392,n344800,Q07955,0
1393,n344772,Q96PU8,0
1394,n345881,P26599,0
1395,n344659,Q13148,0
1396,n344646,P26599,0
1397,n346101,O43251,0
1398,n344793,Q9HCE1,0
1399,n345385,Q13148,0
1400,n345674,P31483,0
1401,n346537,P26599,0
1402,n344646,Q9NZI8,0
1403,n344514,B7ZL34,0
1404,n344454,Q9UL18,0
1405,n344541,Q9UKV8,0
1406,n344808,P35637,0
1407,n345385,Q96PU8,0
1408,n344916,Q8NDV7,0
1409,n344800,Q01844,0
1410,n344598,Q96PU8,0
1411,n345117,Q9UL18,0
1412,n344547,Q9HCE1,0
1413,n344810,Q9HCE1,0
1414,n345559,Q01844,0
1415,n345186,Q07955,0
1416,n345077,Q9UKV8,0
1417,n345310,Q96PU8,0
1418,n345161,Q07955,0
1419,n346426,Q9NZI8,0
1420,n345170,Q9HCE1,0
1421,n346404,B7ZL34,0
1422,n345221,Q9HCE1,0
1423,n345270,Q49AS9,0
1424,n345701,Q8NDV7,0
1425,n345636,P31483,0
1426,n344963,O43251,0
1427,n346398,Q9UL18,0
1428,n344986,B7ZL34,0
1429,n344793,Q9UKV8,0
1430,n345395,Q9UL18,0
1431,n345232,Q49AS9,0
1432,n344589,Q96PU8,0
1433,n363314,P31483,0
1434,n344778,Q86X94,0
1435,n344503,Q9UKV8,0
1436,n344736,Q9UKV8,0
1437,n346033,O43251,0
1438,n345670,Q13148,0
1439,n344741,Q07955,0
1440,n345861,Q01844,0
1441,n345012,P35637,0
1442,n344934,P35637,0
1443,n344818,P31483,0
1444,n344551,O43251,0
1445,n345641,Q9HCE1,0
1446,n346078,P26599,0
1447,n346101,Q9UL18,0
1448,n344875,Q9NZI8,0
1449,n344709,Q9UL18,0
1450,n345385,B7ZL34,0
1451,n344453,Q9UKV8,0
1452,n345437,Q49AS9,0
1453,n344995,Q07955,0
1454,n344478,Q9UKV8,0
1455,n344943,B7ZL34,0
1456,n345091,Q13148,0
1457,n346523,Q13148,0
1458,n345221,O43251,0
1459,n346101,Q01844,0
1460,n346373,Q96PU8,0
1461,n344652,O00425,0
1462,n344488,Q9HCE1,0
1463,n344658,O00425,0
1464,n346033,P26599,0
1465,n346494,Q15717,0
1466,n344552,Q8NDV7,0
1467,n344778,Q8NDV7,0
1468,n345395,B7ZL34,0
1469,n345222,P35637,0
1470,n345781,Q07955,0
1471,n346398,Q96PU8,0
1472,n344778,Q9Y6M1,0
1473,n344628,Q9Y6M1,0
1474,n346392,Q96PU8,0
1475,n345232,Q01844,0
1476,n345156,Q13148,0
1477,n345686,Q13148,0
1478,n345799,Q9UL18,0
1479,n345437,Q96PU8,0
1480,n345506,Q96PU8,0
1481,n346188,O00425,0
1482,n346101,P35637,0
1483,n344457,Q96PU8,0
1484,n345612,B7ZL34,0
1485,n346205,Q86X94,0
1486,n345437,Q9Y6M1,0
1487,n345138,Q01844,0
1488,n345417,Q07955,0
1489,n344741,Q86X94,0
1490,n345249,Q9Y6M1,0
1491,n345457,P26599,0
1492,n346398,Q9HCE1,0
1493,n344652,Q9HCE1,0
1494,n345839,Q9UKV8,0
1495,n345527,Q86X94,0
1496,n344778,P31483,0
1497,n346533,Q9HCE1,0
1498,n345139,P31483,0
1499,n346404,Q9UL18,0
1500,n346398,Q86X94,0
1501,n344871,P35637,0
1502,n346349,P35637,0
1503,n345437,Q9UKV8,0
1504,n345653,Q8NDV7,0
1505,n344709,O00425,0
1506,n344798,B7ZL34,0
1507,n346510,Q8NDV7,0
1508,n345117,Q9UKV8,0
1509,n344578,O43251,0
1510,n346137,P31483,0
1511,n344996,Q86X94,0
1512,n345781,O43251,0
1513,n344848,P35637,0
1514,n344664,Q13148,0
1515,n344793,Q8NDV7,0
1516,n345222,O43251,0
1517,n344659,Q9UL18,0
1518,n345433,Q86X94,0
1519,n344939,P31483,0
1520,n344793,Q07955,0
1521,n346537,P35637,0
1522,n345668,Q9NZI8,0
1523,n344800,Q9NZI8,0
1524,n344868,Q86X94,0
1525,n346167,Q13148,0
1526,n344664,Q49AS9,0
1527,n346137,B7ZL34,0
1528,n345185,Q9UL18,0
1529,n345516,Q86X94,0
1530,n346426,Q8NDV7,0
1531,n345185,Q9NZI8,0
1532,n345977,Q9UL18,0
1533,n345670,P26599,0
1534,n345139,B7ZL34,0
1535,n345935,O43251,0
1536,n346533,Q49AS9,0
1537,n344462,Q9Y6M1,0
1538,n344601,Q9HCE1,0
1539,n345182,Q9Y6M1,0
1540,n346167,Q07955,0
1541,n345168,Q9HCE1,0
1542,n345746,Q9NZI8,0
1543,n345765,Q96PU8,0
1544,n344736,P26599,0
1545,n346537,Q07955,0
1546,n345630,Q8NDV7,0
1547,n344547,Q07955,0
1548,n344659,Q9UL18,0
1549,n346196,Q49AS9,0
1550,n344610,Q9UL18,0
1551,n346383,P31483,0
1552,n344971,P35637,0
1553,n345433,Q96PU8,0
1554,n345207,Q8NDV7,0
1555,n345777,Q9HCE1,0
1556,n344807,P26599,0
1557,n344996,Q13148,0
1558,n345032,Q9UL18,0
1559,n345501,Q9HCE1,0
1560,n345185,P26599,0
1561,n344800,Q96PU8,0
1562,n346296,Q01844,0
1563,n344547,Q49AS9,0
1564,n344980,Q9HCE1,0
1565,n344986,Q96PU8,0
1566,n344871,Q9UL18,0
1567,n345746,P26599,0
1568,n345455,Q07955,0
1569,n346477,Q9HCE1,0
1570,n346472,Q96PU8,0
1571,n345117,P26599,0
1572,n344651,Q86X94,0
1573,n344798,Q07955,0
1574,n345455,O43251,0
1575,n344741,Q8NDV7,0
1576,n345618,P31483,0
1577,n346236,P35637,0
1578,n344957,Q07955,0
1579,n345139,Q9UL18,0
1580,n345653,Q9UKV8,0
1581,n344975,Q86X94,0
1582,n344778,Q07955,0
1583,n344601,P26599,0
1584,n345077,Q9HCE1,0
1585,n345879,P35637,0
1586,n344691,Q07955,0
1587,n344574,Q9UKV8,0
1588,n344805,P35637,0
1589,n344875,O43251,0
1590,n344960,Q49AS9,0
1591,n345161,P31483,0
1592,n345457,Q07955,0
1593,n344986,Q9UKV8,0
1594,n344604,Q9HCE1,0
1595,n346189,O00425,0
1596,n345648,O43251,0
1597,n345465,O00425,0
1598,n346545,P26599,0
1599,n345357,Q9Y6M1,0
1600,n344778,O43251,0
1601,n345502,O43251,0
1602,n345468,Q9Y6M1,0
1603,n345765,Q01844,0
1604,n344745,O00425,0
1605,n345310,Q49AS9,0
1606,n345014,O43251,0
1607,n345473,Q07955,0
1608,n344709,Q9HCE1,0
1609,n344691,Q9UL18,0
1610,n346533,Q96PU8,0
1611,n346101,P26599,0
1612,n344598,P31483,0
1613,n345045,P31483,0
1614,n345935,Q13148,0
1615,n344559,Q9UKV8,0
1616,n345437,Q9Y6M1,0
1617,n345040,P31483,0
1618,n345457,Q86X94,0
1619,n345323,Q9HCE1,0
1620,n344736,Q9NZI8,0
1621,n345648,Q07955,0
1622,n344588,Q01844,0
1623,n345781,Q86X94,0
1624,n346481,Q9NZI8,0
1625,n345304,P31483,0
1626,n344800,Q86X94,0
1627,n344531,Q86X94,0
1628,n346260,Q01844,0
1629,n345040,Q9Y6M1,0
1630,n344778,P31483,0
1631,n344610,Q9HCE1,0
1632,n345751,Q8NDV7,0
1633,n344497,Q49AS9,0
1634,n344589,Q01844,0
1635,n344721,Q8NDV7,0
1636,n344691,P31483,0
1637,n344695,P26599,0
1638,n345281,O00425,0
1639,n344659,O43251,0
1640,n344601,Q86X94,0
1641,n345423,Q13148,0
1642,n344678,O00425,0
1643,n344749,P35637,0
1644,n344960,Q9HCE1,0
1645,n344547,P31483,0
1646,n344791,Q96PU8,0
1647,n344996,O43251,0
1648,n345337,Q9NZI8,0
1649,n344724,Q9NZI8,0
1650,n344678,Q8NDV7,0
1651,n344601,Q13148,0
1652,n344490,Q9UL18,0
1653,n345960,Q49AS9,0
1654,n346167,Q01844,0
1655,n345232,Q13148,0
1656,n345641,Q49AS9,0
1657,n344800,O43251,0
1658,n345524,Q96PU8,0
1659,n346101,Q07955,0
1660,n345421,Q86X94,0
1661,n344760,Q9HCE1,0
1662,n344574,O43251,0
1663,n345516,P26599,0
1664,n344705,P31483,0
1665,n345641,Q07955,0
1666,n344649,Q07955,0
1667,n345173,Q8NDV7,0
1668,n344736,Q07955,0
1669,n345185,P31483,0
1670,n345068,Q96PU8,0
1671,n344791,Q13148,0
1672,n346189,Q96PU8,0
1673,n344749,P26599,0
1674,n344457,P35637,0
1675,n344930,Q9UKV8,0
1676,n344462,Q9UKV8,0
1677,n344585,Q9HCE1,0
1678,n344931,Q13148,0
1679,n344691,Q9HCE1,0
1680,n345623,O43251,0
1681,n344995,Q8NDV7,0
1682,n344793,Q01844,0
1683,n345670,Q96PU8,0
1684,n345623,Q49AS9,0
1685,n344741,B7ZL34,0
1686,n344646,O43251,0
1687,n344656,Q15717,0
1688,n344810,Q86X94,0
1689,n345486,Q13148,0
1690,n344574,Q9UL18,0
1691,n344552,O00425,0
1692,n346007,Q01844,0
1693,n346026,Q15717,0
1694,n345915,Q9Y6M1,0
1695,n346082,Q49AS9,0
1696,n344574,Q8NDV7,0
1697,n363297,Q86X94,0
1698,n346299,P31483,0
1699,n346007,Q9Y6M1,0
1700,n345437,P35637,0
1701,n346051,O43251,0
1702,n344818,Q9UL18,0
1703,n346137,Q49AS9,0
1704,n345802,O00425,0
1705,n345161,Q8NDV7,0
1706,n344793,Q07955,0
1707,n345455,Q49AS9,0
1708,n346332,Q8NDV7,0
1709,n345823,P26599,0
1710,n346426,Q86X94,0
1711,n346296,Q86X94,0
1712,n344808,Q96PU8,0
1713,n345040,Q07955,0
1714,n345045,Q49AS9,0
1715,n363315,O43251,0
1716,n346109,Q07955,0
1717,n346535,P26599,0
1718,n345408,P35637,0
1719,n345957,P35637,0
1720,n344995,P26599,0
1721,n345304,Q49AS9,0
1722,n344604,B7ZL34,0
1723,n345222,O43251,0
1724,n344691,Q96PU8,0
1725,n346143,O43251,0
1726,n344612,Q49AS9,0
1727,n345483,P35637,0
1728,n345157,Q9UL18,0
1729,n345045,Q01844,0
1730,n344610,P26599,0
1731,n346533,Q8NDV7,0
1732,n345594,B7ZL34,0
1733,n345382,Q15717,0
1734,n346533,O43251,0
1735,n344793,Q96PU8,0
1736,n345385,Q07955,0
1737,n344885,Q96PU8,0
1738,n345337,O43251,0
1739,n346481,P26599,0
1740,n344651,O43251,0
1741,n345433,Q07955,0
1742,n344958,Q13148,0
1743,n344768,Q13148,0
1744,n345574,Q01844,0
1745,n345988,B7ZL34,0
1746,n345888,Q9Y6M1,0
1747,n344638,Q96PU8,0
1748,n346110,P35637,0
1749,n344547,Q86X94,0
1750,n346082,Q01844,0
1751,n344604,Q07955,0
1752,n345288,O43251,0
1753,n345777,B7ZL34,0
1754,n344880,Q9UKV8,0
1755,n344960,B7ZL34,0
1756,n345437,B7ZL34,0
1757,n345025,Q96PU8,0
1758,n344538,Q9HCE1,0
1759,n345385,Q9UKV8,0
1760,n346082,O43251,0
1761,n344601,Q96PU8,0
1762,n344691,P26599,0
1763,n344701,Q9Y6M1,0
1764,n344517,Q9UL18,0
1765,n345091,Q9UL18,0
1766,n344924,Q9NZI8,0
1767,n344791,Q86X94,0
1768,n344547,Q13148,0
1769,n344691,O00425,0
1770,n344588,B7ZL34,0
1771,n344871,Q86X94,0
1772,n344457,Q01844,0
1773,n345881,Q8NDV7,0
1774,n344667,O43251,0
1775,n345045,Q9UL18,0
1776,n344461,Q86X94,0
1777,n346051,Q9UL18,0
1778,n344871,O43251,0
1779,n344971,P26599,0
1780,n344995,Q86X94,0
1781,n346082,B7ZL34,0
1782,n344934,Q9UKV8,0
1783,n344793,Q9UL18,0
1784,n344574,O43251,0
1785,n344960,O43251,0
1786,n344971,Q9UKV8,0
1787,n344778,B7ZL34,0
1788,n344924,Q96PU8,0
1789,n344971,Q9HCE1,0
1790,n345222,Q8NDV7,0
1791,n345746,O00425,0
1792,n345449,B7ZL34,0
1793,n344894,Q49AS9,0
1794,n345424,Q07955,0
1795,n344996,P35637,0
1796,n346370,Q9UKV8,0
1797,n345437,Q9NZI8,0
1798,n345751,Q9Y6M1,0
1799,n346535,B7ZL34,0
1800,n345385,P26599,0
1801,n345232,Q9UKV8,0
1802,n344540,Q9NZI8,0
1803,n344768,P35637,0
1804,n344986,O43251,0
1805,n344675,Q01844,0
1806,n344659,Q8NDV7,0
1807,n345161,P26599,0
1808,n345421,Q07955,0
1809,n344778,Q86X94,0
1810,n345696,Q07955,0
1811,n344972,Q07955,0
1812,n345221,Q9Y6M1,0
1813,n346110,Q96PU8,0
1814,n344745,Q9HCE1,0
1815,n344778,O00425,0
1816,n345334,P26599,0
1817,n345966,Q96PU8,0
1818,n344649,B7ZL34,0
1819,n344949,Q96PU8,0
1820,n345040,Q9UKV8,0
1821,n345777,Q49AS9,0
1822,n345473,Q9NZI8,0
1823,n345873,Q9NZI8,0
1824,n344659,Q96PU8,0
1825,n344658,P31483,0
1826,n344907,Q86X94,0
1827,n346101,Q8NDV7,0
1828,n344995,O43251,0
1829,n344490,P26599,0
1830,n346430,Q86X94,0
1831,n345110,Q9UL18,0
1832,n345026,O43251,0
1833,n345138,B7ZL34,0
1834,n344693,Q9UKV8,0
1835,n346535,Q9Y6M1,0
1836,n346296,P26599,0
1837,n344808,Q01844,0
1838,n345222,Q8NDV7,0
1839,n346517,Q01844,0
1840,n344585,P31483,0
1841,n345670,Q9UL18,0
1842,n345041,P26599,0
1843,n346067,Q9NZI8,0
1844,n346177,Q8NDV7,0
1845,n344604,Q9UKV8,0
1846,n344741,P31483,0
1847,n345422,Q13148,0
1848,n345385,P35637,0
1849,n345544,Q49AS9,0
1850,n346143,Q8NDV7,0
1851,n344541,Q9HCE1,0
1852,n344610,P31483,0
1853,n344798,P35637,0
1854,n344490,Q86X94,0
1855,n344691,Q8NDV7,0
1856,n346535,P31483,0
1857,n344709,O43251,0
1858,n345251,Q9HCE1,0
1859,n344691,O00425,0
1860,n345534,Q96PU8,0
1861,n344817,Q49AS9,0
1862,n344793,Q49AS9,0
1863,n344677,Q49AS9,0
1864,n344709,Q8NDV7,0
1865,n344531,Q49AS9,0
1866,n344988,Q96PU8,0
1867,n344552,Q9UL18,0
1868,n344455,O43251,0
1869,n345185,Q86X94,0
1870,n346082,P31483,0
1871,n344971,O43251,0
1872,n344460,B7ZL34,0
1873,n344691,Q49AS9,0
1874,n344745,Q9UL18,0
1875,n344658,Q8NDV7,0
1876,n344971,Q86X94,0
1877,n346461,Q9HCE1,0
1878,n344995,Q13148,0
1879,n344547,Q8NDV7,0
1880,n345232,B7ZL34,0
1881,n345823,Q13148,0
1882,n344604,Q96PU8,0
1883,n345437,Q49AS9,0
1884,n344778,Q96PU8,0
1885,n344659,Q86X94,0
1886,n345168,Q07955,0
1887,n344975,Q96PU8,0
1888,n345032,B7ZL34,0
1889,n346082,Q8NDV7,0
1890,n345421,Q9UL18,0
1891,n346398,Q01844,0
1892,n345391,Q01844,0
1893,n345777,Q86X94,0
1894,n344538,Q13148,0
1895,n345618,Q07955,0
1896,n345558,B7ZL34,0
1897,n345777,Q01844,0
1898,n344803,O00425,0
1899,n344462,P26599,0
1900,n345516,Q9UKV8,0
1901,n345653,Q13148,0
1902,n345232,Q9NZI8,0
1903,n346430,O43251,0
1904,n345856,O43251,0
1905,n344808,Q07955,0
1906,n344540,P35637,0
1907,n344745,P31483,0
1908,n344930,Q86X94,0
1909,n345091,Q9NZI8,0
1910,n344995,Q9UL18,0
1911,n346535,Q9UKV8,0
1912,n344778,Q9UL18,0
1913,n345957,Q8NDV7,0
1914,n345246,Q8NDV7,0
1915,n345105,Q9NZI8,0
